Position,Name,ID,Salary,GameInfo,TeamAbbrev,Projected
QB,Dak Prescott,7147263,5000,NYG@Dal 04:25PM ET,Dal,18.7
QB,Eli Manning,7147258,7500,NYG@Dal 04:25PM ET,NYG,20.211
QB,Matthew Stafford,7147265,7200,Det@Ind 04:25PM ET,Det,19.674
QB,Russell Wilson,7147252,7900,Mia@Sea 04:05PM ET,Sea,21.771
RB,Adrian Peterson,7147291,7600,Min@Ten 01:00PM ET,Min,17.147
RB,Lamar Miller,7147386,7000,Chi@Hou 01:00PM ET,Hou,15.119
RB,Mark Ingram,7147344,6600,Oak@NO 01:00PM ET,NO,17.283
RB,Duke Johnson Jr.,7147319,5100,Cle@Phi 01:00PM ET,Cle,10.269
RB,Charles Sims,7147280,4400,TB@Atl 01:00PM ET,TB,11.375
RB,Danny Woodhead,7147354,5000,SD@KC 01:00PM ET,SD,15.194
RB,Latavius Murray,7147345,5600,Oak@NO 01:00PM ET,Oak,13.238
WR,T.Y. Hilton,7147734,7500,Det@Ind 04:25PM ET,Ind,13.588
WR,Stefon Diggs,7147508,4800,Min@Ten 01:00PM ET,Min,11.607
WR,Brandon Marshall,7147538,7800,Cin@NYJ 01:00PM ET,NYJ,23.2
WR,Jermaine Kearse,7147684,3500,Mia@Sea 04:05PM ET,Sea,10.683
WR,Golden Tate,7147732,7300,Det@Ind 04:25PM ET,Det,13.15
WR,Kamar Aiken,7147616,4700,Buf@Bal 01:00PM ET,Bal,12.588
WR,A.J. Green,7147544,8400,Cin@NYJ 01:00PM ET,Cin,17.929
WR,Anquan Boldin,7147728,4500,Det@Ind 04:25PM ET,Det,12.636
TE,Gary Barnidge,7147803,4700,Cle@Phi 01:00PM ET,Cle,15.394
TE,Austin Seferian-Jenkins,7147783,2800,TB@Atl 01:00PM ET,TB,11.7
DST,Vikings,7148606,3100,Min@Ten 01:00PM ET,Min,8.8
DST,Giants,7148624,2700,NYG@Dal 04:25PM ET,NYG,7.3